date,start_date,end_date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,Disaster Type
"DatetimeIndex(['1983-04-25 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1983-04-26,1983-04-26,51.0,29.6,24.7,27.237497,0.90000004,0.90000004,23.828083,39.96,181.63321,23.22,Storm
"DatetimeIndex(['1983-03-20 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1983-03-21,1983-03-21,61.0,27.6,23.2,25.606247,6.5,6.5,32.688713,49.32,185.2692,18.71,Storm
"DatetimeIndex(['1983-10-14 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1983-10-15,1983-10-15,65.0,26.25,24.55,25.483332,122.50001,122.50001,17.811815,35.64,216.24461,6.02,Storm
"DatetimeIndex(['1983-11-12 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1983-11-13,1983-11-13,1.0,27.35,21.75,24.27292,0.0,0.0,13.684735,21.599998,342.96884,17.45,Storm
"DatetimeIndex(['1985-05-23 18:00:00+00:00', '1985-05-24 18:00:00+00:00',
               '1985-05-25 18:00:00+00:00', '1985-05-26 18:00:00+00:00',
               '1985-05-27 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1985-05-24,1985-05-28,58.2,29.25,25.95,27.373333,27.86,27.86,32.67483,52.415997,154.92874,13.8480015,Storm
"DatetimeIndex(['1985-03-27 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1985-03-28,1985-03-28,51.0,28.95,24.2,26.302084,0.8,0.8,24.464113,37.079998,196.41048,22.05,Storm
"DatetimeIndex(['1985-10-15 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1985-10-16,1985-10-16,61.0,29.5,26.05,26.856253,4.2,4.2,32.559605,50.76,147.53836,14.83,Storm
"DatetimeIndex(['1985-07-04 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1985-07-05,1985-07-05,61.0,28.3,25.35,26.212496,15.5,15.5,34.217045,51.12,167.72171,15.74,Flood
"DatetimeIndex(['1986-04-03 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1986-04-04,1986-04-04,1.0,33.1,23.35,27.668749,0.0,0.0,20.65848,32.039997,252.26118,24.63,Storm
"DatetimeIndex(['1986-08-01 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1986-08-02,1986-08-02,53.0,28.0,25.3,26.522919,5.3,5.3,19.386591,30.599998,180.10944,17.24,Flood
"DatetimeIndex(['1986-09-25 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1986-09-26,1986-09-26,63.0,25.45,24.55,24.900002,48.100002,48.100002,23.664352,42.12,119.26507,2.71,Storm
"DatetimeIndex(['1986-11-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1986-11-09,1986-11-09,65.0,25.0,23.4,24.3375,94.8,94.8,48.505238,73.439995,174.5824,2.36,Storm
"DatetimeIndex(['1986-08-06 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1986-08-07,1986-08-07,61.0,28.8,25.5,26.864584,7.7,7.7,25.212852,37.44,159.30444,15.69,Flood
"DatetimeIndex(['1987-07-21 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1987-07-22,1987-07-22,61.0,29.0,26.1,27.070831,14.900001,14.900001,31.367552,46.44,166.67624,15.78,Flood
"DatetimeIndex(['1987-06-03 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1987-06-04,1987-06-04,65.0,28.55,26.35,27.324997,69.700005,69.700005,39.76656,57.6,132.39516,5.44,Storm
"DatetimeIndex(['1987-09-26 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1987-09-27,1987-09-27,53.0,27.15,24.85,26.045835,7.8999996,7.8999996,25.050413,38.16,173.96349,7.86,Epidemic
"DatetimeIndex(['1988-10-18 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1988-10-19,1988-10-19,63.0,26.45,24.3,25.222916,51.499996,51.499996,49.82587,78.479996,148.05951,2.53,Storm
"DatetimeIndex(['1988-11-28 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1988-11-29,1988-11-29,53.0,26.9,22.85,24.508333,1.9000001,1.9000001,42.826385,45.719997,140.4719,7.61,Storm
"DatetimeIndex(['1988-05-22 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1988-05-23,1988-05-23,53.0,29.25,26.35,27.483332,4.9,4.9,27.834309,39.96,179.6046,16.65,Storm
"DatetimeIndex(['1988-06-12 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1988-06-13,1988-06-13,63.0,26.25,24.8,25.404167,40.200005,40.200005,31.688177,50.399998,152.84029,5.66,Storm
"DatetimeIndex(['1989-04-25 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1989-04-26,1989-04-26,55.0,30.8,26.45,28.279165,3.0,3.0,34.877293,50.76,183.76642,20.81,Storm
"DatetimeIndex(['1989-08-13 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1989-08-14,1989-08-14,53.0,27.85,25.75,26.608332,4.7000003,4.7000003,23.068108,35.64,159.9047,11.26,Flood
"DatetimeIndex(['1989-05-25 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1989-05-26,1989-05-26,55.0,31.2,26.4,28.06459,5.8,5.8,32.69664,56.16,146.82674,17.24,Storm
"DatetimeIndex(['1989-08-10 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1989-08-11,1989-08-11,53.0,28.25,25.35,26.520836,4.3,4.3,24.336637,36.36,152.46683,13.71,Epidemic
"DatetimeIndex(['1990-05-01 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1990-05-02,1990-05-02,51.0,30.3,25.95,27.814585,1.2,1.2,12.959999,21.96,246.48114,24.64,Storm
"DatetimeIndex(['1990-04-21 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1990-04-22,1990-04-22,51.0,29.1,26.35,27.483332,1.5000001,1.5000001,28.66694,43.92,177.47748,18.58,Storm
"DatetimeIndex(['1990-03-23 18:00:00+00:00', '1990-03-24 18:00:00+00:00',
               '1990-03-25 18:00:00+00:00', '1990-03-26 18:00:00+00:00',
               '1990-03-27 18:00:00+00:00', '1990-03-28 18:00:00+00:00',
               '1990-03-29 18:00:00+00:00'],
              dtype='datetime64[ns, UTC]', freq='D')",1990-03-24,1990-03-30,49.57143,26.75,21.814287,24.092558,6.828571,6.828571,18.435244,31.731426,173.9252,15.635714,Flood
